claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
OPS01,21,"A specialist-market model's inspected introduction shows superior counterparty information can generate a positive bid-ask spread even under a risk-neutral specialist earning zero expected transaction profit, and that binding inventory constraints can force departure from that zero-profit pricing.",GLOSTEN1985,"Author-hosted reprint PDF pp. 1-3; abstract and opening Section 1",full_text_section,"Only the abstract and opening Section 1 were inspected, not the formal model or proofs; a stock specialist-market analogy, not direct evidence for any prediction venue; the chapter's fill-conditioned mixture derivation is independently constructed."
OPS02,21,"A continuous-auction model describes an equilibrium with one risk-neutral insider, noise traders and competitive risk-neutral market makers in which, in the continuous-trading limit, prices follow a Brownian process with constant depth and eventual full information incorporation.",KYLE1985,"Publisher raw HTML abstract (div.abstract)",theoretical_abstract,"Only the complete abstract was inspected, not the full article or proofs; an equilibrium conclusion under a specified model, not an empirical law of event-market prices."
OPS03,21,"An inventory-aware limit-order-book market-making model builds a finite-horizon reservation-price/quote-skew rule on a driftless arithmetic Brownian mid-price, exponential terminal-wealth utility and distance-decaying Poisson arrivals, with its simple quoted bid/ask expressions (equations 29-30) stated as an approximation and its reported performance from numerical simulations marked to the terminal midpoint.",AVELLANEDA2008,"Sections 2.1-2.5 and 3.1-3.3, pp. 218-223; equations 1, 8, 12, 20 and 29-30",full_text_section,"Main text and cited equations were inspected, not the Appendix in full; terminal midpoint valuation is not an executed liquidation or a binary contractual settlement. A binary payout does not require a price jump at the administrative settlement instant."
OPS04,21,"Real fee rounding accumulates across an order's fills and real settlement timing and fees can vary by contract and clearing arrangement rather than being one flat constant.",KALSHI_ROUNDING;KALSHI_SETTLEMENT,"Overview; Rounding Mechanics; Fee Accumulator | How It Works; Settlement Timing; Fees",official_documentation,"Not the complete market-specific fee schedule; this chapter's own worked examples use an invented flat per-unit fee for arithmetic clarity, not these figures."
OPS05,22,"Kelly's own binary betting example shows repeated full-stake betting on a favorable bet can still lead to eventual ruin, motivating maximization of expected log wealth over expected wealth; the paper limits its dominance claim to fixed per-outcome staking rules and treats stake-size control and reinvestment as essential, using base-two logarithms.",KELLY1956,"The gambler with a private wire, pp. 918-920; The general case, pp. 920-922; track take, pp. 923-925; Conclusion, pp. 925-926",full_text_section,"The source's communication-channel model with independent transmitted symbols and known probabilities is not an estimated event-market forecast; this chapter's fully collateralized binary-payout sizing derivation is independently constructed for this book, not reproduced from the source text; log-growth optimality does not guarantee finite-horizon safety or a universal fractional-Kelly rule."
OPS06,22,"Real venue fees can be price- and size-dependent rather than a flat per-unit amount, and settlement collateral is not always plain cash.",POLYMARKET_FEES;POLYMARKET_COLLATERAL,"Fee Structure; Fee Precision | Why pUSD; Key facts",official_documentation,"Time-varying and product-specific documentation; this chapter's constant-fee sizing examples are invented teaching costs, not these schedules."
OPS07,22,"Real fee accumulation is maintained per order across its fills rather than computed once on the full requested size.",KALSHI_ROUNDING,"Rounding Mechanics; Fee Accumulator",official_documentation,"Not a universal rule across venues; does not replace checking the currently effective schedule before sizing a real order."
OPS08,23,"Off-policy evaluation from logged bandit data must correct for the difference between the logging (behavior) policy and the evaluated (target) policy using known propensities.",DUDIK2011,"arXiv abstract and Comments",method_abstract,"Abstract-level pointer; requires known, positive propensities and adequate action support, which an arbitrary historical log may not provide."
OPS09,23,"Standard off-policy deep reinforcement learning trained on a fixed batch of data can extrapolate poorly to actions unlike those in the data, motivating batch-constrained methods.",FUJIMOTO2019,"PMLR abstract",empirical_abstract,"Continuous-control robotics benchmark results; not a market-execution or profitability finding."
OPS10,23,"Repeated inspection and selection over multiple backtests or evaluation splits inflates the probability that an impressive result reflects overfitting rather than a real effect.",BAILEY2017,"Institutional abstract and WMU ScholarWorks Citation",method_abstract,"Abstract-level pointer; does not certify any specific train/test market-regime split in this chapter as immune to selection."
OPS11,24,"Time-uniform confidence sequences can provide valid coverage under continuous monitoring rather than only at one predetermined sample size.",HOWARD2021,"Abstract; Section 2, equations 3-6 and Definitions 1-2",full_text_section,"Requires a stated filtration and exponential-supermartingale condition; does not fix event-dependence or a leaked label in a monitored feed."
OPS12,24,"Live/historical data partitions and a mock-funds demo environment are explicitly documented as distinct from a complete historical order-book archive and from live-market fidelity.",KALSHI_HISTORY;KALSHI_DEMO,"Cutoff Timestamps and Historical Endpoints | Warning and endpoint table",official_documentation,"Not a redistribution license and not proof of live-liquidity fidelity; describes one venue's documented mechanics only."
OPS13,24,"A retrieved venue terms page can display a geographic/product restriction notice without exposing its complete operative terms.",POLYMARKET_TERMS,"Geographic/product banner in retrieved response",official_documentation,"Partial official response; does not establish full eligibility, current requirements, or data-reuse permission for any specific reader."
