claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
EXE01,17,"Kalshi's fee-rounding documentation distinguishes a trade fee, a separate rounding fee, a rebate, balance precision, and a per-order accumulator applied across fills, a different structure from a single flat per-unit classroom fee.",KALSHI_ROUNDING,"Fee Rounding page (complete inspected page)",official_documentation,"Not a complete market-specific fee schedule; illustrates structural complexity, not an actual numeric fee table to reuse."
EXE02,17,"Polymarket's fee documentation describes taker fees that are price- and market-dependent rather than a single constant.",POLYMARKET_FEES,"Fee structure and precision sections",official_documentation,"Category table is mutable and market-specific; not a universal or timeless fee constant."
EXE03,17,"Wolfers and Zitzewitz's abstract describes sufficient conditions under which a market price approximates average belief, and biased approximations when those conditions fail.",WZ2006,"NBER working-paper abstract",theoretical_abstract,"Working paper, not peer-reviewed; used here only to caution that a model's own forecast is likewise not automatically well calibrated."
EXE04,17,"Kalshi's settlement documentation distinguishes ordinary YES/NO settlement from a scalar or sub-cent settlement path with its own fee/rounding treatment, and states that settlement timing can vary.",KALSHI_SETTLEMENT,"Market Settlement page (complete inspected page)",official_documentation,"Describes one venue's current mechanism; does not establish identical treatment at other venues or for every contract."
EXE05,18,"Kalshi's inspected order-book guide documents bid-only arrays with fixed-point quantities, from which an ordinary binary ask is inferred rather than separately listed.",KALSHI_BOOK,"Response Structure; Why Only Bids?",official_documentation,"Schema description only; not a queue-position guarantee or a historical archive of any specific resting order."
EXE06,18,"Polymarket's public order-book documentation exposes price/size levels together with a response timestamp, state hash, minimum order size, and tick size.",POLYMARKET_BOOK,"Prices and Order Books page",official_documentation,"A response hash establishes a returned snapshot's identity, not complete historical coverage or queue position within it."
EXE07,18,"Polymarket's resolution documentation describes disputes, additional-context clarifications, and an exceptional Unknown/50-50 outcome that redeems each side at 0.50.",POLYMARKET_RESOLUTION,"Resolution Rules; Challenge Period; UMA Vote table",official_documentation,"Describes one documented venue mechanism; not a frequency estimate or a claim that every venue uses the same exceptional payout."
EXE08,19,"Bailey, Borwein, Lopez de Prado, and Zhu propose a probability-of-backtest-overfitting framework using combinatorially symmetric cross-validation, motivated by the risk of repeatedly inspecting a holdout during investment research.",BAILEY2017,"Institutional abstract (Western Michigan University record)",method_abstract,"Specific CSCV procedure not independently reproduced here; applicability to sparse, dependent event-contract labels needs separate scrutiny."
EXE09,19,"White's reality check tests the best of several candidates' expected performance against a stated benchmark using a least-favorable-null construction and common random-length bootstrap blocks for dependent data.",WHITE2000,"Abstract/introduction opening (p. 1097) and Section 2a-2b through p. 1104, University of Wisconsin article copy",full_text_section,"Setup assumes stationary strong-mixing observations, point-in-time predictors and further asymptotic regularity; Appendix proofs not audited; cannot recover undisclosed trials, fix leakage or validate fictitious fills/costs."
EXE10,19,"Benjamini and Hochberg's abstract defines the false-discovery-rate objective and states a control result for independent test statistics.",BENJAMINI1995,"Publisher-deposited abstract",method_abstract,"Control result is stated for independent test statistics; extension to dependent strategy trials is not established by this citation alone."
EXE11,19,"Politis and Romano's stationary bootstrap uses geometrically distributed random block lengths to build a conditionally stationary resampled pseudo-series, supporting asymptotic inference for weakly dependent stationary observations.",POLITIS1994,"Complete primary publisher abstract",method_abstract,"Full proofs and any specific block-length choice not audited; do not extend to arbitrary dependence, nonstationarity or a conveniently chosen event-sampling unit."
EXE12,19,"Howard, Ramdas, McAuliffe, and Sekhon construct time-uniform confidence sequences using a filtration and an exponential-supermartingale argument, giving coverage across every stopping time rather than one predetermined look.",HOWARD2021,"Abstract and Section 2 (filtration and exponential-supermartingale setup)",full_text_section,"Time-uniform coverage depends on the method's own stated model; it does not cure leakage or turn dependent repeated observations into independent draws."
EXE13,20,"Polymarket's documentation distinguishes individual market and outcome-token identifiers from an event container that groups several markets, and states that only some multi-market events are mutually exclusive.",POLYMARKET_MARKETS,"Events; Multi-Market Events sections",official_documentation,"Grouping description only; actual exclusivity of any specific set of contracts requires a separate rules check."
EXE14,20,"Polymarket's inspected resolution documentation identifies disputes, additional-context clarifications and an exceptional Unknown/50-50 payout.",POLYMARKET_RESOLUTION,"Resolution Rules; Challenge Period; UMA Vote table; Clarifications",official_documentation,"Does not establish a generic void-with-full-refund convention; actual contracts require their own complete payout-state audit."
EXE15,20,"Hanson's logarithmic market-scoring construction is presented as supporting modular, combinatorial information aggregation across related questions.",HANSON2007,"Publisher abstract",theoretical_abstract,"Full cost-function proof not independently audited here; a designed scoring mechanism is not evidence that independently listed contracts already form a compatible basket."
EXE16,20,"Abernethy, Chen, and Vaughan's convex-optimization framework addresses market making for bounded-payoff securities using convex-hull cost structures over related outcomes.",ABERNETHY2013,"Institutional abstract (Microsoft Research record)",theoretical_abstract,"Mechanism-design theory for a market maker's own book; not a claim that two independently quoted, separately listed contracts are automatically executable as one basket."
