claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
FND01,1,An event container grouping several markets does not by itself establish that the grouped outcomes are mutually exclusive or exhaustive.,POLYMARKET_MARKETS,Markets; Events; Multi-Market Events,official_documentation,Describes the retrieved documentation only; verify the specific event's actual rules before assuming exclusivity.
FND02,1,Kalshi settlement documentation distinguishes ordinary YES/NO determinations from scalar or partial settlements that can carry different rounding and fee treatment.,KALSHI_SETTLEMENT,How It Works; Settlement Timing; Fees,official_documentation,Describes the inspected edition; contract-specific rules remain authoritative for a given market.
FND03,1,Polymarket resolution documentation describes a dispute process that can resolve a market at an Unknown state in which each side's token redeems for USD 0.50 rather than USD 0 or USD 1.,POLYMARKET_RESOLUTION,Resolution Rules; UMA Vote table,official_documentation,"Not every contract follows an identical edge-case path; this is one documented exceptional mechanism, not a universal rule."
FND04,1,"Kalshi's fee-rounding guide describes a trade fee, a rounding fee, and a rebate as distinct components, with balance precision depending on membership or clearing type.",KALSHI_ROUNDING,Overview; Rounding Mechanics; Fee Accumulator,official_documentation,Not the complete market-specific trade-fee schedule; does not license treating the book's invented flat per-unit fee as a real venue fee.
R001,1,A market title alone does not specify all contractual settlement rules.,POLYMARKET_RESOLUTION,Resolution Rules,official_documentation,This is a documented venue example; retain each actual contract's rules.
R002,1,An exceptional documented Polymarket outcome can redeem each side at 0.50 rather than forcing a binary payout.,POLYMARKET_RESOLUTION,UMA Vote table: Unknown/50-50,official_documentation,Not a claim that every venue or contract uses the same exceptional resolution.
E001,2,A strictly proper scoring rule uniquely rewards the generating forecast distribution in expectation within the specified forecast class.,GNEITING2007,Sections 1 and 2.1; pp. 359-360,full_text_section,Source uses higher-is-better rewards; an expectation-level property does not certify finite-sample calibration or trading profit.
FND05,2,Brier's original verification paper and Murphy's score-decomposition paper remain metadata-only reading pointers; the separately inspected Gneiting-Raftery sections support the scoring framework.,BRIER1950;MURPHY1973;GNEITING2007,"Crossref records for Brier/Murphy; Gneiting-Raftery Sections 1, 2.1, 2.3 and 3.1-3.2",source_inspection_boundary,No original Brier/Murphy text inspection; reverse the Gneiting-Raftery reward orientation and halve its categorical binary squared-error sum for the book's single-YES convention.
R003,2,The identification of average beliefs from an equilibrium price depends on trader and market assumptions.,MANSKI2004;WZ2006,NBER abstracts,theoretical_abstract,Average belief is not objective event probability; full model proofs not inspected.
FND06,3,A midpoint is a forecasting benchmark rather than a promised fill; an immediate taker purchase sweeps asks and an immediate taker sale sweeps bids.,WZ2006,NBER abstract immediately following Issue Date,theoretical_abstract,The execution distinction is independently explained classroom mechanics rather than a theorem attributed to this price-interpretation abstract; resting makers can fill at their own posted prices.
