claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
R001,1,"A market title alone does not specify all contractual settlement rules.",POLYMARKET_RESOLUTION,"Resolution Rules",official_documentation,"This is a documented venue example; retain each actual contract's rules."
R002,1,"An exceptional documented Polymarket outcome can redeem each side at 0.50 rather than forcing a binary payout.",POLYMARKET_RESOLUTION,"UMA Vote table: Unknown/50-50",official_documentation,"Not a claim that every venue or contract uses the same exceptional resolution."
R003,2,"The identification of average beliefs from an equilibrium price depends on trader and market assumptions.",MANSKI2004;WZ2006,"NBER abstracts",theoretical_abstract,"Average belief is not objective event probability; full model proofs not inspected."
R004,3,"Actual venue fee treatment can depend on price and market rather than a universal flat fee.",POLYMARKET_FEES;KALSHI_ROUNDING,"Fee Structure; Rounding Mechanics",official_documentation,"Mutable product-specific examples; no timeless fee table is asserted."
R005,4,"Wolfers and Zitzewitz describe sufficient conditions for price to reflect mean beliefs and useful but sometimes biased approximations beyond those conditions.",WZ2006,"NBER abstract",theoretical_abstract,"Working paper; no blanket assertion that every market price is calibrated."
R006,4,"Manski's risk-neutral price-taking model partially identifies central tendency and does not identify belief dispersion.",MANSKI2004,"NBER abstract",theoretical_abstract,"Model-dependent result; not evidence that prices are universally uninformative."
R007,4,"The IEM study abstract compares 964 polls across five presidential elections and reports contemporaneous market vote-share predictions closer to the eventual two-party split in 74 percent of comparisons.",BERG2008,"IEM institutional abstract",empirical_abstract,"Five election outcomes are not 964 independent outcomes; vote-share accuracy is not net trading profit."
R008,5,"Kalshi's inspected book schema represents YES and NO bids as string-valued dollar prices and fixed-point quantities.",KALSHI_BOOK,"Response Structure",official_documentation,"Current schema only; recheck before acquisition."
R009,5,"The inspected Kalshi guide derives an ordinary binary YES ask from one minus the best NO bid.",KALSHI_BOOK,"Why Only Bids?; Calculating Spreads",official_documentation,"Subject to ordinary binary mechanics and displayed size; not a guaranteed delayed fill."
R010,5,"Hanson's abstract describes market scoring rules as combining individual elicitation with group information aggregation.",HANSON2007,"Publisher abstract",theoretical_abstract,"Full cost-function theorem not inspected; classroom algebra should be derived independently."
R011,6,"Polymarket documents disputes and additional-context clarifications after trading begins.",POLYMARKET_RESOLUTION,"Challenge Period; Clarifications",official_documentation,"Do not infer exact payout or timing from an informal title."
R012,6,"The inspected operator guide describes pUSD as a Polygon collateral wrapper representing a USDC claim.",POLYMARKET_COLLATERAL,"Why pUSD; Key facts",official_documentation,"Operator description is not an independent reserve or contract audit; separate regional products."
R013,6,"The retrieved polymarket.com page displayed a U.S. trading block and directed users to a separate polymarket.us product.",POLYMARKET_TERMS,"Retrieved geographic banner",official_documentation,"Complete operative terms not exposed; no full eligibility matrix or permission to trade established."
R014,7,"NOAA's monthly CO2 file explicitly identifies early Scripps data and later NOAA-period observations.",NOAA_CO2,"Dataset provenance header",data_provenance,"The proposed extract restricts to 1975 onward rather than assuming a third-party redistribution license."
R015,7,"NOAA GML qualifies public-domain government-server information with attribution and no-endorsement requirements and separately discusses third-party data.",NOAA_POLICY,"Data and Products; Disclaimer of Endorsement",data_provenance,"Public URL alone is not a license for unrelated or third-party data."
R016,8,"Kalshi partitions live and historical records using moving cutoffs with object-specific timestamp meanings.",KALSHI_HISTORY,"Cutoff Timestamps; Historical Endpoints",official_documentation,"The documented interface does not establish a complete historical order-book archive."
R017,8,"NOAA warns that quality-control checks may revise the published CO2 values.",NOAA_DATA,"Data revision warning",data_provenance,"Chronological splitting of a current vintage does not recover historical publication vintages."
