claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
M001,11,"Coordinate-descent computation can fit lasso, ridge and elastic-net penalized paths for linear, logistic and multinomial models.",FRIEDMAN2010,"Publisher abstract",method_abstract,"Computational fitting method only; no forecasting benefit over an unpenalized baseline is implied."
M002,11,"An L1 penalty on linear-model coefficients can drive some coefficients to exactly zero, unlike a smooth L2 penalty.",TIBSHIRANI1996,"Publisher-deposited abstract in Crossref",method_abstract,"The abstract's primary setting is linear regression; exact sparsity is not proof of causal relevance."
M003,11,"Scaled predictors with weakly informative Student-t priors on logistic-regression coefficients are proposed as a default that remains better behaved under complete separation.",GELMAN2008,"arXiv abstract; published DOI metadata",method_abstract,"A proposed default prior is not a universally optimal prior; Bayesian machinery does not certify correct model specification."
M004,12,"Random forests grow classification trees on bootstrap resamples and choose each split from a random subset of candidate features, then aggregate votes.",BREIMAN2001,"Berkeley author site, Overview and tree-construction description",full_text_section,"Author explanatory web text, not the original journal proof; raw vote fractions are not automatically calibrated probabilities."
M005,12,"Greedy function approximation via staged, gradient-based boosting is a bibliographic reading pointer used to motivate this chapter's independently derived toy boosting update.",FRIEDMAN2001,"Crossref DOI metadata",bibliographic_metadata,"Metadata only, one of the ledger's three remaining reading-pointer records (with BRIER1950 and MURPHY1973); the chapter's boosting arithmetic is derived independently rather than reproduced from the unread paper."
M006,12,"XGBoost is described as a scalable tree-boosting system with sparsity-aware split finding and a weighted quantile sketch for approximate splits.",CHEN2016,"arXiv abstract and Comments",method_abstract,"Engineering-scale claims about one boosting library; the companion script uses a small scikit-learn gradient boosting classifier, not the XGBoost package."
M007,12,"Modern neural classifiers in the studied image and document benchmarks were frequently poorly calibrated, and temperature scaling improved calibration on most examined datasets.",GUO2017,"PMLR abstract",empirical_abstract,"Benchmark classifiers and datasets differ from small event-count prediction-market data; no transfer of the specific finding is implied."
M008,12,"Isotonic calibration can overfit small calibration datasets, and logistic calibration can worsen already-reasonable or skewed scores for some studied classifiers.",KULL2017,"PMLR abstract",method_abstract,"Comparative results concern the studied classifiers and datasets; no calibration method is asserted universally best for prediction-market data."
M009,13,"Cox's proportional-hazards formulation multiplies covariate effects by an unspecified baseline hazard for censored failure-time data.",COX1972,"Publisher-deposited abstract",method_abstract,"Event occurrence and contractual settlement are distinct times; a proportional-hazards assumption needs independent justification for a specific contract."
M010,13,"Kalman's formulation recursively updates a linear state estimate and its error covariance from noisy observations.",KALMAN1960,"Publisher-deposited abstract",method_abstract,"The chapter's minimum-variance linear-estimation derivation does not require Gaussian errors; a Gaussian posterior/state interpretation adds distributional assumptions. No original full-text inspection is claimed."
M011,13,"Bayesian online changepoint detection computes a posterior over the current run length under a model where segment parameters before and after a change are independent.",ADAMS2007,"arXiv abstract",method_abstract,"Preprint; a detected changepoint is not proof of a causal regime shift or a tradable pattern, and it is not implemented in the companion."
M012,13,"The NOAA Mauna Loa monthly series is a current-vintage observational dataset subject to later revision, and its documentation flags interpolated months and a 2022-2023 measurement-location change.",NOAA_CO2;NOAA_DATA,"Dataset provenance header; revision warning",data_provenance,"Illustrates current-vintage-versus-point-in-time tension for a real series; it is not market data and supports no market-timing claim."
M013,14,"Bag-of-words representations discard word order while retaining term-occurrence counts.",MANNING2008,"Term frequency and weighting",full_text_section,"Representation choice alone has no market predictive value."
M014,14,"Inverse document frequency is computed from the count of documents containing a term rather than the term's raw total frequency.",MANNING2008,"Inverse document frequency",full_text_section,"Corpus statistics must be estimated only within the training-information boundary to avoid vocabulary leakage."
M015,14,"BERT pretrains deep bidirectional text representations and then adapts them with a task-specific output layer during fine-tuning.",DEVLIN2019,"ACL abstract and citation metadata",method_abstract,"Language-benchmark results are not market-forecast evidence, and this record does not certify any model's historical training cutoff."
M016,15,"The inspected paper derives weight gradients by propagating output-error derivatives backward through differentiable layers, using a squared-error objective with gradient and momentum updates, and explicitly notes that local minima prevent a guaranteed global optimum.",RUMELHART1986,"Nature pp. 533-535; equations 1-9 and local-minimum discussion",full_text_section,"Squared-error demonstrations do not establish calibrated probabilities or predictive value on markets; the paper itself disclaims exclusive historical priority; a gradient calculation is not a guarantee of successful representation learning from a small dependent event sample."
M017,15,"LSTM addresses decaying error signals in learning long sequence dependencies, with reported experiments in the abstract on artificial sequence tasks.",HOCHREITER1997,"Publisher-deposited abstract",method_abstract,"Artificial long-delay tasks do not establish an advantage on sparse, small-event-count market labels; not implemented in the companion."
M018,15,"The Transformer paper compares per-layer computational complexity, number of sequential operations, and maximum dependency path length across self-attention, recurrent, and convolutional layers.",ATTENTION2017,"Abstract; Section 4",full_text_section,"Reported applications are translation and parsing, not calibrated event-probability forecasting; not implemented in the companion, whose neural model is a small feedforward network."
M019,16,"The inspected publisher abstract reports that combining two sets of airline-passenger point forecasts produced lower mean-square error than either original set, and describes estimating combination weights from past forecast errors.",BATES1969,"Publisher HTML head: ScholarlyArticle abstract; issue date metadata",empirical_abstract,"An empirical possibility on point forecasts is not a guarantee that every combination improves forecasts, and it is not a theorem that averaging event probabilities preserves calibration; this chapter's own minimum-variance weight derivation is produced independently."
M020,16,"Combining predictive distributions is studied through coherence, calibration, and dispersion, with simulation and case studies noted in the abstract.",GNEITING2013,"arXiv abstract; published DOI metadata",method_abstract,"An average of calibrated forecasts is not automatically calibrated or coherent; case studies do not show prediction-market profitability."
M021,16,"Stacking is extended to Bayesian predictive distributions and compared with Bayesian model averaging in an M-open setting.",YAO2018,"arXiv abstract",method_abstract,"Its leave-one-out machinery is not automatically a valid chronological, event-grouped evaluation split."
M022,16,"Domain-adversarial training learns representations that remain useful for a task while becoming less distinguishable between a labeled source domain and an unlabeled target domain.",GANIN2016,"JMLR abstract",method_abstract,"No guarantee of successful transfer across market families or regimes; not implemented in the companion."
