event_id,group_id,family_id,event_time,published_at,observed_at,decision_at,label_available_at,signal,horizon_hours,market_probability,outcome,text,synthetic
toy-0000,toy-0000,invented-recurring,2025-01-01T18:00:00+00:00,2025-01-01T05:50:00+00:00,2025-01-01T05:58:00+00:00,2025-01-01T06:00:00+00:00,2025-01-02T06:00:00+00:00,1.767402,12.0,0.771778,1,synthetic bulletin reports improving conditions with 12 hours remaining,True
toy-0000,toy-0000,invented-recurring,2025-01-01T18:00:00+00:00,2025-01-01T14:50:00+00:00,2025-01-01T14:58:00+00:00,2025-01-01T15:00:00+00:00,2025-01-02T06:00:00+00:00,1.037844,3.0,0.538248,1,synthetic bulletin reports improving conditions with 3 hours remaining,True
toy-0001,toy-0001,invented-recurring,2025-01-02T18:00:00+00:00,2025-01-02T05:50:00+00:00,2025-01-02T05:58:00+00:00,2025-01-02T06:00:00+00:00,2025-01-03T06:00:00+00:00,1.140451,12.0,0.654599,1,synthetic bulletin reports improving conditions with 12 hours remaining,True
toy-0001,toy-0001,invented-recurring,2025-01-02T18:00:00+00:00,2025-01-02T14:50:00+00:00,2025-01-02T14:58:00+00:00,2025-01-02T15:00:00+00:00,2025-01-03T06:00:00+00:00,0.734827,3.0,0.480996,1,synthetic bulletin reports improving conditions with 3 hours remaining,True
toy-0002,toy-0002,invented-recurring,2025-01-03T18:00:00+00:00,2025-01-03T05:50:00+00:00,2025-01-03T05:58:00+00:00,2025-01-03T06:00:00+00:00,2025-01-04T06:00:00+00:00,-0.434949,12.0,0.406491,1,synthetic bulletin reports weakening conditions with 12 hours remaining,True
toy-0002,toy-0002,invented-recurring,2025-01-03T18:00:00+00:00,2025-01-03T14:50:00+00:00,2025-01-03T14:58:00+00:00,2025-01-03T15:00:00+00:00,2025-01-04T06:00:00+00:00,-0.203682,3.0,0.514933,1,synthetic bulletin reports mixed conditions with 3 hours remaining,True
toy-0003,toy-0003,invented-recurring,2025-01-04T18:00:00+00:00,2025-01-04T05:50:00+00:00,2025-01-04T05:58:00+00:00,2025-01-04T06:00:00+00:00,2025-01-05T06:00:00+00:00,-0.541338,12.0,0.353497,0,synthetic bulletin reports weakening conditions with 12 hours remaining,True
toy-0003,toy-0003,invented-recurring,2025-01-04T18:00:00+00:00,2025-01-04T14:50:00+00:00,2025-01-04T14:58:00+00:00,2025-01-04T15:00:00+00:00,2025-01-05T06:00:00+00:00,-0.353317,3.0,0.421045,0,synthetic bulletin reports weakening conditions with 3 hours remaining,True
toy-0004,toy-0004,invented-recurring,2025-01-05T18:00:00+00:00,2025-01-05T05:50:00+00:00,2025-01-05T05:58:00+00:00,2025-01-05T06:00:00+00:00,2025-01-06T06:00:00+00:00,-0.507797,12.0,0.383401,1,synthetic bulletin reports weakening conditions with 12 hours remaining,True
toy-0004,toy-0004,invented-recurring,2025-01-05T18:00:00+00:00,2025-01-05T14:50:00+00:00,2025-01-05T14:58:00+00:00,2025-01-05T15:00:00+00:00,2025-01-06T06:00:00+00:00,0.251232,3.0,0.526567,1,synthetic bulletin reports mixed conditions with 3 hours remaining,True
