claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
D001,7,"Contract resolution rules can permit an exceptional non-binary payout (an Unknown/50-50 redemption at 0.50 per token) in addition to disputes and post-launch clarifications, so a schema cannot assume every settlement is a clean binary 0/1.",POLYMARKET_RESOLUTION,"Resolution Rules; UMA Vote table; Clarifications",official_documentation,"Documents one venue's mechanism as of the inspection date; not a claim that every venue or contract shares this exact exceptional payout or frequency."
D002,7,"An event container grouping multiple markets does not by itself establish that the grouped outcome tokens are mutually exclusive or form an exhaustive partition.",POLYMARKET_MARKETS,"Events; Multi-Market Events",official_documentation,"Actual contract compatibility for a specific event still requires reading that event's own rules; this is not a claim about any particular event's structure."
D003,7,"Live and historical partitions for a venue's records are governed by moving cutoffs with object-specific partition fields, and the documented historical endpoints do not establish a complete historical order-book archive.",KALSHI_HISTORY,"Historical Data guide",official_documentation,"Describes one venue's documented interface as of the inspection date; does not establish coverage completeness, redistribution permission, or behavior of any other venue."
D004,7,"The selected real-data study period (January 1975-December 2025) deliberately excludes the March 1958-April 1974 window that the source header attributes to Scripps Institution of Oceanography, and separately excludes interpolation-flagged months and treats the December 2022-July 2023 Maunakea substitution as a location discontinuity.",NOAA_CO2,"Header attribution; interpolation/negative-flag fields; Maunakea substitution note",data_provenance,"A provenance and scope boundary for one dataset, not a claim about data quality elsewhere in the series or about any market or forecasting application."
D005,7,"Retrieved terms-of-use text did not expose complete operative permissions, so no unrestricted venue-data redistribution license was established for the inspected venue documentation.",POLYMARKET_TERMS,"Retrieved geographic-notice text",official_documentation,"A partial-response boundary, not a legal determination about any reader's eligibility or about redistribution rights for any other page or venue."
D006,8,"A provider's own documentation states that later quality-control checks can revise previously published monthly values, so a current-vintage download does not reconstruct a historical vintage.",NOAA_DATA,"Data page revision statement",official_documentation,"States that revisions can occur in principle; this book has not measured any specific NOAA revision magnitude, and the chapter's illustrative revision numbers are explicitly invented for exposition."
D007,8,"Live/historical partitions use moving cutoffs with different fields governing different record types (for example, settlement versus trade-creation partition times), so a single query surface cannot be assumed to hold every past record.",KALSHI_HISTORY,"Historical Data guide",official_documentation,"Documents one venue's interface design as of the inspection date; general pagination/cutoff engineering practice described in the chapter is stated independent of any single provider's exact field names."
D008,8,"The inspected order-book schema uses string-valued fixed-point dollar prices and quantities in YES/NO bid arrays, with an ordinary binary contract's opposite-side bid implying an ask.",KALSHI_BOOK,"Orderbook Responses guide",official_documentation,"Describes one documented response schema as of the inspection date; a current schema example is not historical order-book evidence and may change."
D009,8,"The inspected public CLOB documentation returns price/size levels alongside a book timestamp, a state hash, a minimum order size, and a tick size for a given token.",POLYMARKET_BOOK,"Prices and Order Books guide",official_documentation,"A state hash identifies one returned snapshot; it does not establish complete historical coverage or queue-position information."
D010,8,"Documented resolution can include a challenge/dispute period after an initial proposed outcome, so the economically informative outcome can become knowable before funds are finally settled.",POLYMARKET_RESOLUTION,"Resolution Rules; timeline description",official_documentation,"Describes one venue's documented process; indicative timelines are not guarantees of payout timing for any specific contract."
