claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
FND01,1,"An event container grouping several markets does not by itself establish that the grouped outcomes are mutually exclusive or exhaustive.",POLYMARKET_MARKETS,"Markets; Events; Multi-Market Events",official_documentation,"Describes the retrieved documentation only; verify the specific event's actual rules before assuming exclusivity."
FND02,1,"Kalshi settlement documentation distinguishes ordinary YES/NO determinations from scalar or partial settlements that can carry different rounding and fee treatment.",KALSHI_SETTLEMENT,"How It Works; Settlement Timing; Fees",official_documentation,"Describes the inspected edition; contract-specific rules remain authoritative for a given market."
FND03,1,"Polymarket resolution documentation describes a dispute process that can resolve a market at an Unknown state in which each side's token redeems for USD 0.50 rather than USD 0 or USD 1.",POLYMARKET_RESOLUTION,"Resolution Rules; UMA Vote table",official_documentation,"Not every contract follows an identical edge-case path; this is one documented exceptional mechanism, not a universal rule."
FND04,1,"Kalshi's fee-rounding guide describes a trade fee, a rounding fee, and a rebate as distinct components, with balance precision depending on membership or clearing type.",KALSHI_ROUNDING,"Overview; Rounding Mechanics; Fee Accumulator",official_documentation,"Not the complete market-specific trade-fee schedule; does not license treating the book's invented flat per-unit fee as a real venue fee."
FND05,2,"Brier's original verification paper and Murphy's score-decomposition paper remain metadata-only reading pointers; the separately inspected Gneiting-Raftery sections support the scoring framework.",BRIER1950;MURPHY1973;GNEITING2007,"Crossref records for Brier/Murphy; Gneiting-Raftery Sections 1, 2.1, 2.3 and 3.1-3.2",source_inspection_boundary,"No original Brier/Murphy text inspection; reverse the Gneiting-Raftery reward orientation and halve its categorical binary squared-error sum for the book's single-YES convention."
FND06,3,"A midpoint is a forecasting benchmark rather than a promised fill; an immediate taker purchase sweeps asks and an immediate taker sale sweeps bids.",WZ2006,"NBER abstract immediately following Issue Date",theoretical_abstract,"The execution distinction is independently explained classroom mechanics rather than a theorem attributed to this price-interpretation abstract; resting makers can fill at their own posted prices."
FND07,4,"Wolfers and Zitzewitz give sufficient conditions under which a prediction-market price is closely related to the mean belief of participants, with the approximation's quality depending on assumptions such as risk attitudes and the shape of the belief distribution.",WZ2006,"NBER abstract immediately following Issue Date",theoretical_abstract,"Abstract-level inspection only; full derivation of the sufficient conditions was not independently reviewed."
FND08,4,"Under a risk-neutral, price-taking model with heterogeneous beliefs, equilibrium price only partially identifies the central tendency of beliefs and does not identify their dispersion.",MANSKI2004,"NBER abstract",theoretical_abstract,"A model-dependent identification result, not a claim that market prices carry no information; full proof not independently inspected."
FND09,4,"Wolfers and Zitzewitz's 2004 survey assembles evidence on information aggregation and predictive accuracy across multiple prediction-market contexts.",WZ2004,"Publisher abstract",empirical_abstract,"A synthesis of selected contexts, not a contemporary venue-wide performance estimate; does not by itself separate correlation from causation in every surveyed case."
FND10,4,"Contemporaneous Iowa Electronic Markets vote-share forecasts were compared with 964 national polls across five U.S. presidential elections from 1988 through 2004, with the market closer to the eventual two-party vote split in 74 percent of those comparisons.",BERG2008,"IEM institutional abstract",empirical_abstract,"964 polls are not 964 independent elections; vote-share forecasting is not the same estimand as winner-take-all probability; no post-cost profitability inference; IEM page and DOI record disagree on page range (283-298 vs 285-300)."
