claim_id,chapter,claim,source_ids,locator,evidence_type,limitations
QS01,26,"A single favorable point estimate from a strategy or pattern search is a claim requiring evidence, not a self-certifying finding, and searching among several holdout evaluations increases the chance of reporting an overfit result.",BAILEY2017,"Institutional abstract and WMU ScholarWorks Citation",method_abstract,"Abstract-level pointer; does not certify this chapter's fixed two-bin split as immune to selection, and its combinatorial procedure is not reproduced here."
QS02,26,"A reality-check-style comparison of the single best rule from a candidate set requires accounting for the whole set considered, not only the reported winner.",WHITE2000,"Abstract/introduction p.1097; Section 2a-2b through p.1104",full_text_section,"Asymptotic, stationary-data theory; does not repair leakage, undocumented search, or execution accounting, and this chapter's own bin choice is fixed in source rather than using this specific bootstrap procedure."
QS03,26,"Controlling a false discovery rate is a distinct statistical qualification from controlling the single best result of a search, and both require a well-defined test family and valid input p-values.",BENJAMINI1995,"Publisher-deposited abstract",empirical_abstract,"Metadata/abstract-level pointer; original procedure does not certify arbitrary dependence among prediction-market-style repeated event observations."
QS04,26,"The NOAA Global Monitoring Laboratory's Mauna Loa carbon dioxide record is real, attributed, current-vintage observational data usable for a disclosed, non-market forecasting exercise under NOAA's public-use policy.",NOAA_CO2;NOAA_DATA;NOAA_POLICY,"Data header and schema; Data/citation guidance; Data and Products policy section",data_provenance,"Current/final vintage subject to revision; no verified historical publication timestamps; not a prediction-market or issued-forecast archive."
QS05,27,"The inspected scoring treatment supports strict propriety of categorical quadratic and logarithmic scores; the book explicitly converts the source's reward orientation and binary quadratic normalization.",GNEITING2007,"Sections 2.1, 2.3, 3.1-3.2",full_text_section,"The categorical binary squared-error sum is twice the single-YES loss after sign reversal; propriety does not guarantee calibration or profit, and the fixed-equal blend is not reproduced from this source."
QS06,27,"Averaging or blending several point forecasts can outperform a single constituent forecast in some empirical settings, motivating this chapter's fixed equal-weight ensemble as a defensible baseline combination rather than a proof of universal improvement.",BATES1969;GNEITING2013,"Complete publisher abstract | Author-deposited arXiv abstract",empirical_abstract,"Point-forecast and predictive-distribution case studies respectively; neither shows prediction-market profitability or that this specific fixed-equal blend is optimal for this fixture."
QS07,27,"Polymarket's documented resolution process allows disputes, clarifications, and an exceptional 50/50 payout, so a market's short title does not by itself establish that a headline outcome equals its contractual payout.",POLYMARKET_RESOLUTION,"Rules, proposal/challenge flow, UMA Vote table, redemption sections",official_documentation,"Describes one venue's documented mechanics at inspection time; not evidence about this chapter's own wholly synthetic event or order books."
QS08,28,"A verified complementary partition's guaranteed payout floor depends on the legs sharing one event, one resolution source, and one complete exceptional-payout state space, none of which is established by matching contract titles or descriptions alone.",POLYMARKET_RESOLUTION;POLYMARKET_COLLATERAL,"Rules and clarification sections | Why pUSD; Key facts",official_documentation,"Documents one venue's disclosed exceptional states and collateral distinction at inspection time; this chapter's own three-state partition is an invented fixture, not a claim about any specific real contract set."
QS09,28,"Real per-unit fees can accumulate across an order's fills and can be price- and size-dependent rather than a flat invented constant, so a basket's arithmetic profit floor is sensitive to which fee model is actually used.",KALSHI_ROUNDING;POLYMARKET_FEES,"Rounding Mechanics; Fee Accumulator | Fee Precision and category table",official_documentation,"Time-varying, market-specific documentation; this chapter's flat USD 0.01 per-unit fee is an invented teaching cost, not either schedule."
QS10,29,"Specialist- and informed-order-flow pricing models describe how quoted spreads can compensate a market maker for adverse selection from better-informed counterparties, offered here strictly as a stock-market analogy for why a resting quote can lose to informed flow.",GLOSTEN1985;KYLE1985,"Abstract and opening Section 1 discussion | Complete primary abstract",theoretical_abstract,"Continuous-market, competitive risk-neutral-pricing analogies; not empirical evidence about any specific prediction-market venue's spreads or fills."
QS11,29,"Avellaneda-Stoikov's approximate quote formulas assume an arithmetic Brownian stock price, exponential utility and Poisson arrivals; the reported comparison uses simulated fills and terminal midpoint valuation rather than historical executable returns.",AVELLANEDA2008,"Sections 1-3, pp.217-223; equations 29-30; Section 3.3 simulations",full_text_section,"Continuous costless quote changes, one-share fills and midpoint marks omit real frictions; bounded contractual payouts require a separately justified model. This quickstart implements no Avellaneda-Stoikov fit or quoting optimizer."
QS12,29,"Real venue fee schedules are documented as price- and size-dependent and subject to change, so this chapter's flat invented per-unit fee cannot be read as a current or universal maker fee.",KALSHI_ROUNDING;POLYMARKET_FEES,"Rounding Mechanics; Fee Accumulator | Fee Precision and category table",official_documentation,"Same time-varying, market-specific caveat as QS09; repeated here because this chapter's stress-mark arithmetic depends on the same invented fee assumption."
QS13,30,"Repeated inspection and selection across evaluation splits or strategy variants is a documented mechanism for reporting an overfit result, which is why this chapter's checklist requires research review to have occurred before, not after, a live decision.",BAILEY2017,"Institutional abstract and WMU ScholarWorks Citation",method_abstract,"Abstract-level pointer; supports the general caution, not a certification of any specific reader's review process."
QS14,30,"A venue's mock-funds demo and its published live/historical data partitions are explicitly documented as distinct from complete historical order-book coverage and from live-market execution fidelity, supporting this chapter's refusal to treat any paper or demo result as live-readiness evidence.",KALSHI_DEMO;KALSHI_HISTORY,"Warning and endpoint table | Cutoff Timestamps and Historical Endpoints",official_documentation,"Describes one venue's documented mechanics at inspection time; not a redistribution license or a universal claim about every venue's demo or historical data."
QS15,30,"A retrieved venue terms page can display a geographic or product restriction notice without exposing complete operative eligibility terms, so independent, current verification is required before assuming eligibility.",POLYMARKET_TERMS,"Geographic/product banner in retrieved response",official_documentation,"Partial official response; does not establish full eligibility, current requirements, or data-reuse permission for any specific reader, and this book does not endorse bypassing any restriction."
